objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587742633347908822,5327,40,5,14,1238,6,259.13608563,43.02882611,25.566505,23.346584,22.495054,22.199249,21.438515,0.814644,0.267188,0.178268,0.20544,0.27987
587742633347909018,5327,40,5,14,1434,6,259.11450174,43.05673622,25.074051,26.201,24.329741,22.213495,21.546909,1.092115,0.45439,0.689179,0.211517,0.309731
587742633347909038,5327,40,5,14,1454,6,259.11572047,43.03283257,23.983606,23.565868,22.854803,22.022028,22.047483,0.995861,0.301572,0.227507,0.163362,0.389225
587742633347909047,5327,40,5,14,1463,6,259.13234433,43.02806944,23.183088,23.483301,23.671976,21.641323,21.042189,0.630732,0.299368,0.465012,0.126257,0.205318
587739863643521311,4682,40,6,207,287,6,259.06683679,43.19021725,18.777336,17.321836,16.778934,16.596317,16.495579,0.020989,4.985238E-3,4.457681E-3,4.701226E-3,8.443958E-3
587739863643521312,4682,40,6,207,288,3,259.06866413,43.190159,25.505501,22.766314,21.166948,20.610565,20.028383,1.340971,0.209779,0.075855,0.074547,0.166171
587739863643521872,4682,40,6,207,848,6,259.08165306,43.21527155,21.5462,20.510729,20.165813,19.992277,19.938272,0.145941,0.022641,0.022548,0.034236,0.091459
587739863643521946,4682,40,6,207,922,6,259.07334143,43.20074855,21.859123,20.776155,20.381916,20.268492,20.215654,0.199824,0.027025,0.026362,0.034338,0.116724
587739863643521995,4682,40,6,207,971,6,259.0663565,43.19318363,21.378607,20.728086,20.414694,20.226576,20.003643,0.128178,0.025778,0.026221,0.03301,0.096987
587739863643522764,4682,40,6,207,1740,6,259.06712343,43.18554571,22.089504,21.691135,21.344954,20.927,20.605326,0.237074,0.053244,0.054929,0.059427,0.167066
587739863643523097,4682,40,6,207,2073,6,259.08644495,43.22175113,23.711639,22.918556,22.116585,21.784967,21.785345,0.902862,0.154342,0.113025,0.136042,0.450784
587739863643523098,4682,40,6,207,2074,6,259.08665882,43.22270457,23.342604,23.623127,22.630194,22.003195,21.695959,0.660292,0.26591,0.169587,0.159607,0.411361
587739863643523131,4682,40,6,207,2107,6,259.07880345,43.21146132,24.317917,23.208414,22.698,22.11059,22.306568,1.136522,0.193581,0.180723,0.175175,0.581079
587739863643523288,4682,40,6,207,2264,6,259.06264768,43.18201898,24.386528,22.281776,21.751154,21.301096,21.025211,1.040629,0.083574,0.074993,0.079642,0.228375
